Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
MX2-2,MX-NoLED,MXOnly-1U-Hotswap,76.2,-76.2,0.0,top
MX2-3,MX-NoLED,MXOnly-1U-Hotswap,95.25,-76.2,0.0,top
MX2-4,MX-NoLED,MXOnly-1U-Hotswap,114.3,-76.2,0.0,top
MX2-5,MX-NoLED,MXOnly-1U-Hotswap,133.35,-76.2,0.0,top
MX2-6,MX-NoLED,MXOnly-1U-Hotswap,152.4,-76.2,0.0,top
MX2-7,MX-NoLED,MXOnly-1U-Hotswap,171.45,-76.2,0.0,top
MX2-8,MX-NoLED,MXOnly-1U-Hotswap,190.5,-76.2,0.0,top
MX2-9,MX-NoLED,MXOnly-1U-Hotswap,209.55,-76.2,0.0,top
MX2-10,MX-NoLED,MXOnly-1U-Hotswap,228.6,-76.2,0.0,top
MX2-11,MX-NoLED,MXOnly-1.5U-Hotswap,252.4125,-76.2,0.0,top
MX3-0,MX-NoLED,MXOnly-1.75U-Hotswap,40.48125,-95.25,0.0,top
MX3-1,MX-NoLED,MXOnly-1U-Hotswap,66.675,-95.25,0.0,top
MX3-2,MX-NoLED,MXOnly-1U-Hotswap,85.725,-95.25,0.0,top
MX3-3,MX-NoLED,MXOnly-1U-Hotswap,104.775,-95.25,0.0,top
MX3-4,MX-NoLED,MXOnly-1U-Hotswap,123.825,-95.25,0.0,top
MX3-5,MX-NoLED,MXOnly-1U-Hotswap,142.875,-95.25,0.0,top
MX3-6,MX-NoLED,MXOnly-1U-Hotswap,161.925,-95.25,0.0,top
MX3-7,MX-NoLED,MXOnly-1U-Hotswap,180.975,-95.25,0.0,top
MX3-8,MX-NoLED,MXOnly-1U-Hotswap,200.025,-95.25,0.0,top
MX3-9,MX-NoLED,MXOnly-1U-Hotswap,219.075,-95.25,0.0,top
MX3-10,MX-NoLED,MXOnly-1U-Hotswap,238.125,-95.25,0.0,top
MX3-11,MX-NoLED,MXOnly-1U-Hotswap,257.175,-95.25,0.0,top
MX4-0,MX-NoLED,MXOnly-1.25U-Hotswap,35.71875,-114.3,0.0,top
MX4-1,MX-NoLED,MXOnly-1U-Hotswap,57.15,-114.3,0.0,top
MX4-2,MX-NoLED,MXOnly-1.25U-Hotswap,78.58125,-114.3,0.0,top
MX4-4+Minisub1,MX-NoLED,MXOnly-2.75U-Hotswap-ReversedStabilizers,116.68125,-114.3,0.0,top
MX4-5+Jetvan1,MX-NoLED,MXOnly-6.25U-Hotswap-ReversedStabilizers,150.01875,-114.3,0.0,top
MX4-6+Minisub1,MX-NoLED,MXOnly-2.25U-Hotswap-ReversedStabilizers,164.30625,-114.3,0.0,top
MX4-8+Minisub1,MX-NoLED,MXOnly-1.25U-Hotswap,197.64375,-114.3,0.0,top
MX4-9,MX-NoLED,MXOnly-1U-Hotswap,219.075,-114.3,0.0,top
MX4-10,MX-NoLED,MXOnly-1U-Hotswap,238.125,-114.3,0.0,top
MX4-11,MX-NoLED,MXOnly-1U-Hotswap,257.175,-114.3,0.0,top
R1,10k,R_0603_1608Metric,142.45,-103.4,180.0,bottom
R2,5.1k,R_0603_1608Metric,46.5,-34.5,90.0,bottom
R3,5.1k,R_0603_1608Metric,58.15,-34.5,90.0,bottom
R4,10k,R_0603_1608Metric,133.0,-111.81,0.0,bottom
R5,1M,R_0603_1608Metric,58.15,-31.5,-90.0,bottom
R11,1k,R_0805_2012Metric,32.385,-34.544,0.0,bottom
R12,1k,R_0805_2012Metric,32.385,-40.132,0.0,bottom
R13,1k,R_0805_2012Metric,32.385,-46.101,0.0,bottom
R21,470,R_0805_2012Metric,93.6,-58.0125,90.0,bottom
Reset1,Reset_Pins,PinHeader_1x02_P2.54mm_Vertical,30.575,-95.25,-90.0,top
RGB1,WS2812B,WS2812B,27.818,-31.717,0.0,top
RGB2,WS2812B,WS2812B,27.818,-37.242,0.0,top
RGB3,WS2812B,WS2812B,27.818,-42.767,0.0,top
U1,PRTR5V0U2X,SOT-143B,52.324,-36.75,90.0,bottom
U2,ATmega32U4-MUR,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,136.85,-106.95,-90.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,52.324,-25.527,0.0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,146.925,-105.07445,90.0,bottom
